Title,Link,Job Type,Campany,Location
Sales Specialist,https://wuzzuf.net/jobs/p/3tZJcrFgYMY8-Sales-Specialist-Horizon-Chemical-for-Special-Chemicals-Alexandria-Egypt,Full TimeOn-site,Horizon Chemical for Special Chemicals  -,"Alexandria, Egypt "
Application Support Engineer,https://wuzzuf.net/jobs/p/jHfexVjHQcLy-Application-Support-Engineer-LinkIT-Damietta-Egypt,Full TimeOn-site,LinkIT -,"New Damietta, Damietta, Egypt "
Senior Systems administrator,https://wuzzuf.net/jobs/p/5cpIju6ddXpL-Senior-Systems-administrator-Nile-University-Giza-Egypt,Full TimeOn-site,Nile University -,"Sheikh Zayed, Giza, Egypt "
IT Technical Support,https://wuzzuf.net/jobs/p/P9BodV9U9W0N-IT-Technical-Support-etisal-for-advanced-industries-Giza-Egypt,Full TimeOn-site,etisal for advanced industries  -,"6th of October, Giza, Egypt "
Product Owner,https://wuzzuf.net/jobs/p/C5ksNZjxq9V0-Product-Owner-Bydotpy-Cairo-Egypt,Full TimeOn-site,Bydotpy -,"New Cairo, Cairo, Egypt "
System Administrator,https://wuzzuf.net/jobs/p/i1s4hvcFiVBF-System-Administrator-Alexandria-Egypt,Full TimeOn-site,Confidential -,"Bourj Alarab, Alexandria, Egypt "
Senior .NET Backend Developer,https://wuzzuf.net/jobs/p/IwAykkA0ufmf-Senior-NET-Backend-Developer-Kick-Start-Interactive-Giza-Egypt,Full TimeHybrid,Kick Start Interactive -,"Dokki, Giza, Egypt "
Odoo Functional Consultant,https://wuzzuf.net/jobs/p/vs5au8EynxHY-Odoo-Functional-Consultant-Boutiqaat-Cairo-Egypt,Full TimeOn-site,Boutiqaat -,"Heliopolis, Cairo, Egypt "
Senior Python Developer (Django - PHP),https://wuzzuf.net/jobs/p/iL54Am5UH2m6-Senior-Python-Developer-Django---PHP-Giza-Egypt,Full TimeHybrid,Confidential -,"Giza, Egypt "
PHP Backend Developer,https://wuzzuf.net/jobs/p/67uro8ehG6pv-PHP-Backend-Developer-Kick-Start-Interactive-Giza-Egypt,Full TimeHybrid,Kick Start Interactive -,"Dokki, Giza, Egypt "
Junior Product Manager,https://wuzzuf.net/jobs/p/MUL4yF5oKIO7-Junior-Product-Manager-Seoudi-Supermarket-Giza-Egypt,Full TimeHybrid,Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt "
IT Supervisor,https://wuzzuf.net/jobs/p/AzmALcYGKU1O-IT-Supervisor-dynamics-Cairo-Egypt,Full TimeOn-site,dynamics -,"New Cairo, Cairo, Egypt "
Junior AI,https://wuzzuf.net/jobs/p/ikG52hDCEsIp-Junior-AI-Nahdet-Misr-Publishing-Group-Giza-Egypt,Full TimeOn-site,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt "
IT Specialist,https://wuzzuf.net/jobs/p/UHEW5BfUgDG7-IT-Specialist-Sharqia-Egypt,Full TimeOn-site,Confidential -,"10th of Ramadan City, Sharqia, Egypt "
ERP System Analyst,https://wuzzuf.net/jobs/p/jz3X1YGz4SXJ-ERP-System-Analyst-Xceed-Contact-Center-Cairo-Egypt,Full TimeOn-site,Xceed Contact Center -,"Maadi, Cairo, Egypt "
QC Head (Metallurgy),https://wuzzuf.net/jobs/p/FvZjuKKcyZAq-QC-Head-Metallurgy-Sierra-Engineering-Manufacturing-Cairo-Egypt,Full TimeOn-site,Sierra Engineering & Manufacturing -,"Obour City, Cairo, Egypt "
Laravel Developer,https://wuzzuf.net/jobs/p/B0hA5QLrwz0q-Laravel-Developer-Kyan-Labs-Cairo-Egypt,Full TimeOn-site,Kyan Labs -,"Maadi, Cairo, Egypt "
Senior Testing Engineer,https://wuzzuf.net/jobs/p/9tdRrx3ffBNO-Senior-Testing-Engineer-Amasi-Cairo-Egypt,Full TimeRemote,Amasi -,"Cairo, Egypt "
Raw Material R&D Specialist,https://wuzzuf.net/jobs/p/ReLIDarNfBzq-Raw-Material-RD-Specialist-Al-Amal-Al-sharif-For-Plastic-Cairo-Egypt,Full TimeOn-site,Al-Amal Al-sharif For Plastic -,"10th of Ramadan City, Cairo, Egypt "
Media Science Manager,https://wuzzuf.net/jobs/p/g/nE8RfaMqK9U5-Media-Science-Manager-Procter-Gamble-Dubai-United-Arab-Emirates,Full Time,Procter & Gamble -,"Dubai, United Arab Emirates "
