Title,Link,Job Type,Campany,Location
Product Assistant Manager,https://wuzzuf.net/jobs/p/g/FmgLSigfe0P9-Product-Assistant-Manager-Restore-Talent-Dubai-United-Arab-Emirates,Full Time,Restore Talent -,"Dubai, United Arab Emirates "
Account Manager DUBAI,https://wuzzuf.net/jobs/p/g/Z2npMBdwT7wn-Account-Manager-DUBAI-RELX-Group-plc-Dubai-United-Arab-Emirates,Full Time,RELX Group plc -,"Dubai, United Arab Emirates "
Tender and sales support manager,https://wuzzuf.net/jobs/p/g/Kxl2AGcnEmNV-Tender-and-sales-support-manager-Hitachi-Cairo-Egypt,Full Time,Hitachi -,"Cairo, Egypt "
SOLUTION ACCOUNT MANAGER,https://wuzzuf.net/jobs/p/g/UPaa0jcjcX77-SOLUTION-ACCOUNT-MANAGER-Belden-Inc-Riyadh-Saudi-Arabia,Full Time,Belden Inc. -,"Riyadh, Saudi Arabia "
Senior Accountant,https://wuzzuf.net/jobs/p/g/61zQy9larmTC-Senior-Accountant-Mozn-Riyadh-Saudi-Arabia,Full Time,Mozn -,"Riyadh, Saudi Arabia "
Security Intern,https://wuzzuf.net/jobs/p/g/nLFY2dx5i8RR-Security-Intern-Accenture-Riyadh-Saudi-Arabia,Full Time,Accenture -,"Riyadh, Saudi Arabia "
Sr All Source Analyst (OSINT),https://wuzzuf.net/jobs/p/g/F7pkzgHeDQya-Sr-All-Source-Analyst-OSINT-Bts-Llc-Kuwait-City-Kuwait,Full Time,"Bts, Llc -","Kuwait City, Kuwait "
DACH HR Employee Data Analyst - (German Speaker),https://wuzzuf.net/jobs/p/g/otmisjFv4xG1-DACH-HR-Employee-Data-Analyst---German-Speaker-Unilever-PLC-Cairo-Egypt,Full Time,Unilever PLC -,"Cairo, Egypt "
Chinese Speaking Data Engineer (Dubai/Batumi),https://wuzzuf.net/jobs/p/g/LCOelHfKQpo2-Chinese-Speaking-Data-Engineer-DubaiBatumi-Recruiter4You-Dubai-United-Arab-Emirates,Full Time,Recruiter4You -,"Dubai, United Arab Emirates "
HVDC Sales Leader MEA,https://wuzzuf.net/jobs/p/g/pFlZ2Q5vlRIJ-HVDC-Sales-Leader-MEA-GE-Vernova-Riyadh-Saudi-Arabia,Full Time,GE Vernova -,"Riyadh, Saudi Arabia "
HVDC Sales Leader MEA,https://wuzzuf.net/jobs/p/g/PsBrX3BPqd0S-HVDC-Sales-Leader-MEA-GE-Renewable-Energy-Dubai-United-Arab-Emirates,Full Time,GE Renewable Energy -,"Dubai, United Arab Emirates "
Freelance Sales Executive - UAE,https://wuzzuf.net/jobs/p/g/5zYPqkpZDEXW-Freelance-Sales-Executive---UAE-Servoo-Dubai-United-Arab-Emirates,Full Time,Servoo -,"Dubai, United Arab Emirates "
Delivery Lead,https://wuzzuf.net/jobs/p/g/WO2PrwIQSuRr-Delivery-Lead-Accenture-Middle-East-Riyadh-Saudi-Arabia,Full Time,Accenture Middle East -,"Riyadh, Saudi Arabia "
Account Manager DUBAI,https://wuzzuf.net/jobs/p/g/tdoBSBSB96kY-Account-Manager-DUBAI-Elsevier-Dubai-United-Arab-Emirates,Full Time,Elsevier -,"Dubai, United Arab Emirates "
Regional Category Buyer IS/IT (Egyptian National Only),https://wuzzuf.net/jobs/p/g/K8s2tniDT5aP-Regional-Category-Buyer-ISIT-Egyptian-National-Only-Thales-Cairo-Egypt,Full Time,Thales -,"Cairo, Egypt "
Technology Strategy & Advisory Senior Manager,https://wuzzuf.net/jobs/p/g/JnqPkoqiqT3U-Technology-Strategy-Advisory-Senior-Manager-Accenture-Middle-East-Doha-Qatar,Full Time,Accenture Middle East -,"Doha, Qatar "
